NAME,LOCATION,City,IMAGE,RATING,BOOK NOW
Deeya suites,Yeshwanthpur , Bangalore,https://jiwirooms.com/app/hotel_logo/dee4.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Deeya-suites_BUDGET_STAYS_HOTEL_RWXx
Hotel pai vista,KR ROAD , Bangalore,https://jiwirooms.com/app/hotel_logo/2s.webp,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-pai-vista_BUDGET_STAYS_HOTEL_RWXq
HOTEL SHIVAALS RESIDENCY,Rajaji Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/shiv5.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/HOTEL-SHIVAALS-RESIDENCY_BUDGET_STAYS_HOTEL_RVVu
NEW Crescent Citadel,HAL ROAD , Bangalore,https://jiwirooms.com/app/hotel_logo/new cit2.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/NEW-Crescent-Citadel_BUDGET_STAYS_HOTEL_RWUv
Hotel Malnad grand inn,Kaniminike , Bangalore,https://jiwirooms.com/app/hotel_logo/mal1.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Hotel-Malnad-grand-inn_BUDGET_STAYS_HOTEL_RWSt
The president hotel,Jayanagar , Bangalore,https://jiwirooms.com/app/hotel_logo/4s.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/The-president-hotel_BUDGET_STAYS_HOTEL_RWWx
Goyal Residency,Electronic City , Bangalore,https://jiwirooms.com/app/hotel_logo/goy6.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Goyal-Residency_BUDGET_STAYS_HOTEL_RWUt
Aryan residency lodge,Rajaji Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/IMG_20180111_123102.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Aryan-residency-lodge_BUDGET_STAYS_HOTEL_RVVt
Hotel sarovar grand,New airport road , Bangalore,https://jiwirooms.com/app/hotel_logo/373322.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-sarovar-grand_BUDGET_STAYS_HOTEL_RWTs
Sri Balaji residency,Rajaji Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/bal5.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Sri-Balaji-residency_BUDGET_STAYS_HOTEL_RVVr
